,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0,IGHA1,CRIP1,FN1,COMP,CHI3L1,IGKC,FTH1,FN1,MT-CO3,MMP3,CCL18,IGFBP7,COL3A1,IGHM
1,IGKC,S100A6,HLA-DRA,CCN2,PLA2G2A,IGHG4,HLA-DRA,FTL,MT-ATP6,FN1,FTL,ACTA2,IGHG3,IGKC
2,IGHG1,CRTAC1,CLU,PRELP,CXCL12,IGHG3,IGHG1,MT-CO1,MMP3,MMP1,PLTP,COL4A1,COL1A1,IGLC2
3,IGHG4,PRG4,MMP1,BGN,EFEMP1,IGLC2,CEBPD,MMP3,MT-CO2,CRTAC1,RNASE1,MCAM,COL1A2,IGHA1
4,IGHG3,HTRA1,PLA2G2A,FMOD,COL6A2,IGLC1,COL1A2,MT2A,MT-CO1,MT2A,F13A1,VWF,SPARC,TRBC2
5,IGLC2,TAGLN2,FTL,CILP,PLTP,IGHM,BGN,RPL41,MT-ND4,VCAM1,LYVE1,A2M,ISLR,TRAC
6,IGHM,EMP3,CTSB,AEBP1,COL1A2,IGLC3,TMSB10,CLU,MT-ND3,TNFAIP6,S100A9,COL4A2,CLEC3B,TRBC1
7,IGHG2,CD74,CD163,CXCL14,CD248,IGHG2,FN1,IGKC,RPS27,CSN1S1,CXCL12,ID1,FSTL1,CXCL13
8,ACTB,MGP,MMP3,SFRP4,STAB1,JCHAIN,MT1X,S100A6,IGKC,ERRFI1,CFD,PLVAP,ELN,CD52
9,TMSB4X,C1QA,GPNMB,PI16,FBLN1,VIM,ITM2B,IFI30,MT-CYB,UAP1,CTSB,COL18A1,CD248,GZMB
10,S100A6,AQP1,TIMP1,FBLN1,LYZ,B2M,COL1A1,ITM2B,RPL41,MT1G,CD14,GNG11,HLA-B,FTH1
11,FTL,RGCC,HLA-DQB1,COL1A1,COL14A1,FTL,TMBIM6,APOE,RPLP1,CXCL1,ITM2B,COL15A1,HTRA3,LTB
12,IGLC3,DCN,IFI30,FNDC1,IGHA1,HLA-DRB1,NDUFA1,RNASE1,MT-ND1,IGKC,C1QB,EGFL7,PRG4,LCK
13,VIM,TPPP3,GLUL,CILP2,JCHAIN,MT-CO2,RPL17,CFD,RPL39,PRG4,TAGLN,PODXL,COL6A1,IL32
14,TENT5C,RNASE1,PSAP,DCN,SEC61A1,HLA-DPB1,IFI30,COL1A2,MT-ND2,TIMP1,C1QA,CD93,BGN,RNASE1
15,S100A4,CSN1S1,RPL13,COL1A2,SELENOP,HLA-B,MMP2,TXN,RPL13A,GABRA4,DCN,ACKR1,IGFBP6,RPL4
16,JCHAIN,ENO1,RPL41,B2M,NBL1,ACTG1,NME2,B2M,HLA-DRA,SEMA3A,FOLR2,ADGRL4,FBN1,TCF7
17,TAGLN2,MT1M,CCL18,ANGPTL7,CFB,HLA-DPA1,RPL12,RPL17,RPS29,LUM,C1QC,RAMP2,FTL,CXCR4
18,MYL6,CD55,RPL32,CCDC80,FSTL1,XBP1,RPL11,CCN5,RPL27A,TWISTNB,CD74,SOX18,TNXB,GZMK
19,GAPDH,NBL1,HLA-B,HLA-B,SNAI2,IGLC7,ATP5MF,MT-ND4,CLU,CXCL6,CCL13,ECSCR,CRIP1,IL7R
